standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,source_download_url,notes
IEEE-C37-74-2025,IEEE C37.74-2025,"IEEE Standard Requirements for Subsurface, Vault, and Pad-mounted Load-Interrupter Switchgear and Fused Load-Interrupter Switchgear for Alternating Current Systems up to and including 38 kV",IEEE,standard,International / North America,C37 switchgear and protection equipment - Switchgear Assemblies,2025,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.74-2025.",https://standards.ieee.org/ieee/C37.74/10648,,IEEE SA page status: Active Standard. Published: 2026-05-06. IEEE record number: 10648.
IEEE-C37-75-2023,IEEE C37.75-2023,"IEEE Standard for Pad-Mounted, Pole-Mounted, and Submersible Switchgear Enclosures and Associated Control Enclosures--Coastal and Non-Coastal Environmental Integrity",IEEE,standard,International / North America,C37 switchgear and protection equipment - Switchgear Assemblies,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.75-2023.",https://standards.ieee.org/ieee/C37.75/7093,,IEEE SA page status: Active Standard. Published: 2023-07-14. IEEE record number: 7093.
IEEE-C37-81-2026,IEEE C37.81-2026,IEEE Approved Draft Guide for Seismic Qualification of Class 1E Metal-Enclosed Power Switchgear Assemblies,IEEE,guide,International / North America,C37 switchgear and protection equipment - Switchgear Assemblies,2026,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.81-2026.",https://standards.ieee.org/ieee/C37.81/11332,,IEEE SA page status: Active Standard. Published: 2026-07-16. IEEE record number: 11332.
IEEE-C37-82-2025,IEEE C37.82-2025,IEEE Standard for the Qualification of Switchgear Assemblies for Class 1E Applications in Nuclear Power Generating Stations,IEEE,standard,International / North America,C37 switchgear and protection equipment - Switchgear Assemblies,2025,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.82-2025.",https://standards.ieee.org/ieee/C37.82/11333,,IEEE SA page status: Active Standard. Published: 2026-06-04. IEEE record number: 11333.
IEEE-C37-90-1-2024,IEEE C37.90.1-2024,"IEEE Standard for Relays, Relay Systems, and Control Devices used for Protection and Control of Electric Power Apparatus--Surge Withstand Capability (SWC) and Electrical Fast Transient (EFT) Requirements and Tests",IEEE,standard,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2024,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.90.1-2024.",https://standards.ieee.org/ieee/C37.90.1/10431,,IEEE SA page status: Active Standard. Published: 2025-10-24. IEEE record number: 10431.
IEEE-C37-90-2-2024,IEEE C37.90.2-2024,"IEEE Standard for Relays, Relay Systems, and Control Devices used for Protection and Control of Electric Power Apparatus--Radiated Electromagnetic Interference Withstand Capability Requirements and Tests",IEEE,standard,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2024,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.90.2-2024.",https://standards.ieee.org/ieee/C37.90.2/10457,,IEEE SA page status: Active Standard. Published: 2025-01-31. IEEE record number: 10457.
IEEE-C37-90-3-2023,IEEE C37.90.3-2023,IEEE Standard for Electrostatic Discharge Tests for Protective Relays,IEEE,standard,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.90.3-2023.",https://standards.ieee.org/ieee/C37.90.3/10432,,IEEE SA page status: Active Standard. Published: 2023-09-05. IEEE record number: 10432.
IEEE-C37-91-2021,IEEE C37.91-2021,IEEE Guide for Protecting Power Transformers,IEEE,guide,International / North America,C37 switchgear and protection equipment - General Switchgear and Protection Requirements,2021,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.91-2021.",https://standards.ieee.org/ieee/C37.91/5904,,IEEE SA page status: Active Standard. Published: 2021-06-29. IEEE record number: 5904.
IEEE-C37-92-2023,IEEE C37.92-2023,IEEE Standard for Low-Energy Analog Interfaces between Protective Relays and Power System Signal Sources,IEEE,standard,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2023,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.92-2023.",https://standards.ieee.org/ieee/C37.92/10827,,IEEE SA page status: Active Standard. Published: 2023-04-25. IEEE record number: 10827.
IEEE-C37-94-2017,IEEE C37.94-2017,IEEE Standard for N times 64 kbps Optical Fiber Interfaces between Teleprotection and Multiplexer Equipment,IEEE,standard,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2017,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.94-2017.",https://standards.ieee.org/ieee/C37.94/5946,,IEEE SA page status: Active Standard. Published: 2017-07-21. IEEE record number: 5946.
